Date,day,tweet_count_islam,tweet_count_blm,tweet_count_all
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-01,Thursday,3,0,559
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-02,Friday,7,5,666
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-03,Saturday,10,2,14737
2015-01-04,Sunday,3,4,15708
2015-01-04,Sunday,3,4,15708
2015-01-04,Sunday,3,4,15708
2015-01-04,Sunday,3,4,15708
2015-01-04,Sunday,3,4,15708
2015-01-04,Sunday,3,4,15708
2015-01-04,Sunday,3,4,15708
2015-01-04,Sunday,3,4,15708
2015-01-04,Sunday,3,4,15708
2015-01-04,Sunday,3,4,15708
2015-01-04,Sunday,3,4,15708
2015-01-04,Sunday,3,4,15708
2015-01-04,Sunday,3,4,15708
2015-01-04,Sunday,3,4,15708
2015-01-04,Sunday,3,4,15708
2015-01-04,Sunday,3,4,15708
2015-01-04,Sunday,3,4,15708
2015-01-04,Sunday,3,4,15708
2015-01-04,Sunday,3,4,15708
2015-01-04,Sunday,3,4,15708
2015-01-04,Sunday,3,4,15708
