islamist_groups
Caucasus Emirate
Caucasus Province of the Islamic State
Chechen Rebels
Gunib Group
Imam Shamil Battalion
Islamic State of Iraq and the Levant (ISIL)
Jihadi-inspired extremists
Kizilyurtovskiy Group
Muslim extremists
Shamil Group
